City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2021-12-15 18:23:54,-20.5167,57.5167,76.35,88,40,4.61
1,Vaini,TO,2021-12-15 18:23:55,-21.2,-175.2,77.16,94,40,6.91
2,Barabai,ID,2021-12-15 18:23:56,-2.5833,115.3833,74.14,98,91,0.69
3,Bluff,NZ,2021-12-15 18:23:56,-46.6,168.3333,53.8,82,100,17.58
4,Lebu,CL,2021-12-15 18:23:57,-37.6167,-73.65,62.15,61,1,12.33
5,Harper,LR,2021-12-15 18:23:57,4.375,-7.7169,80.85,81,88,6.49
6,Igarka,RU,2021-12-15 18:23:58,67.4667,86.5833,-18.67,100,100,4.21
7,Punta Arenas,CL,2021-12-15 18:19:10,-53.15,-70.9167,59.02,67,0,20.71
8,Jijiang,CN,2021-12-15 18:23:59,29.2906,106.2542,55.36,91,100,1.7
9,Cao Bang,VN,2021-12-15 18:24:00,22.6667,106.25,56.75,98,30,0.18
10,Puerto Ayora,EC,2021-12-15 18:24:00,-0.7393,-90.3518,78.76,83,90,5.01
11,Sibolga,ID,2021-12-15 18:24:01,1.7427,98.7792,76.57,90,100,3.56
12,Ocos,GT,2021-12-15 18:24:02,14.5094,-92.1933,93.7,60,1,6.49
13,Nong Bua,TH,2021-12-15 18:24:03,15.8646,100.5858,73.89,69,55,1.92
14,Albany,US,2021-12-15 18:21:18,42.6001,-73.9662,46.81,51,100,1.01
15,Cape Town,ZA,2021-12-15 18:23:55,-33.9258,18.4232,61.21,76,75,3.0
16,Pacific Grove,US,2021-12-15 18:24:05,36.6177,-121.9166,53.71,75,1,1.01
17,Ushuaia,AR,2021-12-15 18:23:01,-54.8,-68.3,53.26,66,75,28.77
18,Kousseri,CM,2021-12-15 18:24:06,12.0769,15.0306,80.56,22,78,8.05
19,Qaanaaq,GL,2021-12-15 18:24:06,77.484,-69.3632,-3.46,69,0,4.25
20,Rikitea,PF,2021-12-15 18:24:07,-23.1203,-134.9692,76.75,76,83,9.55
21,Wamba,NG,2021-12-15 18:24:07,8.9333,8.6,80.49,22,36,1.39
22,Torbat-E Jam,IR,2021-12-15 18:24:08,35.244,60.6225,29.75,53,0,3.71
23,Barra,BR,2021-12-15 18:20:29,-11.0894,-43.1417,89.35,39,100,3.89
24,Busselton,AU,2021-12-15 18:24:08,-33.65,115.3333,54.09,84,43,10.0
25,Khatanga,RU,2021-12-15 18:24:09,71.9667,102.5,-7.94,92,100,10.2
26,Nantucket,US,2021-12-15 18:20:56,41.2835,-70.0995,47.03,62,1,8.05
27,Jamestown,US,2021-12-15 18:19:29,42.097,-79.2353,45.3,84,100,8.01
28,Longyearbyen,SJ,2021-12-15 18:22:05,78.2186,15.6401,28.24,69,40,13.8
29,Port Augusta,AU,2021-12-15 18:24:11,-32.5,137.7667,60.94,53,0,6.67
30,Ferrol,ES,2021-12-15 18:24:12,43.4832,-8.2369,52.68,86,1,4.34
31,Hermanus,ZA,2021-12-15 18:24:13,-34.4187,19.2345,60.91,66,75,16.22
32,Shelopugino,RU,2021-12-15 18:24:13,51.6514,117.5599,-23.94,99,24,2.59
33,Makueni,KE,2021-12-15 18:24:14,-1.8041,37.6203,62.76,98,96,2.33
34,Richards Bay,ZA,2021-12-15 18:24:15,-28.783,32.0377,78.08,79,40,13.09
35,Whakatane,NZ,2021-12-15 18:24:15,-37.9585,176.9854,67.51,92,69,1.99
36,College,US,2021-12-15 18:24:15,64.8569,-147.8028,-27.42,66,40,0.0
37,Kendari,ID,2021-12-15 18:24:16,-3.945,122.4989,76.78,94,100,3.42
38,Kahului,US,2021-12-15 18:24:16,20.8947,-156.47,76.84,85,20,8.05
39,Avarua,CK,2021-12-15 18:24:17,-21.2078,-159.775,80.65,83,20,9.22
40,Atuona,PF,2021-12-15 18:21:47,-9.8,-139.0333,77.85,77,34,16.17
41,Jieshou,CN,2021-12-15 18:24:18,33.2634,115.3611,47.84,55,98,5.91
42,Mataura,NZ,2021-12-15 18:24:19,-46.1927,168.8643,53.47,85,100,4.88
43,Dharchula,IN,2021-12-15 18:24:19,29.85,80.5333,43.7,26,0,9.28
44,Jiblah,YE,2021-12-15 18:24:20,13.9216,44.1467,57.31,53,2,3.24
45,Balkanabat,TM,2021-12-15 18:24:21,39.5108,54.3671,44.6,33,51,15.61
46,Russell,US,2021-12-15 18:24:21,32.3502,-85.1999,71.38,69,90,5.75
47,Yining,CN,2021-12-15 18:24:22,29.0361,114.5636,56.46,82,77,2.75
48,Soe,ID,2021-12-15 18:24:22,-9.8607,124.284,66.56,85,10,3.04
49,Sao Raimundo Nonato,BR,2021-12-15 18:24:23,-9.0153,-42.6994,91.78,37,78,7.38
50,Pisco,PE,2021-12-15 18:24:25,-13.7,-76.2167,71.02,78,30,10.36
51,Leningradskiy,RU,2021-12-15 18:24:25,69.3833,178.4167,-25.08,100,100,6.8
52,Barrow,US,2021-12-15 18:24:26,71.2906,-156.7887,-25.58,68,75,8.05
53,Buluang,PH,2021-12-15 18:24:27,13.3068,123.3425,75.61,92,100,6.33
54,Castro,BR,2021-12-15 18:23:27,-24.7911,-50.0119,75.51,79,100,3.31
55,Saint-Philippe,RE,2021-12-15 18:24:28,-21.3585,55.7679,76.59,80,30,12.53
56,Lorengau,PG,2021-12-15 18:24:28,-2.0226,147.2712,81.52,83,100,14.2
57,Ekibastuz,KZ,2021-12-15 18:24:30,51.6667,75.3667,20.1,81,93,16.87
58,Kaeo,NZ,2021-12-15 18:24:30,-35.1,173.7833,65.32,92,87,10.02
59,Eureka,US,2021-12-15 18:19:38,40.8021,-124.1637,47.35,80,100,10.0
60,Vestmannaeyjar,IS,2021-12-15 18:24:31,63.4427,-20.2734,43.79,81,75,29.93
61,Uyemskiy,RU,2021-12-15 18:24:32,64.4743,40.8524,28.45,93,75,4.47
62,Prince Rupert,CA,2021-12-15 18:24:33,54.3161,-130.3201,35.29,77,75,0.0
63,Provideniya,RU,2021-12-15 18:24:34,64.3833,-173.3,1.06,97,100,26.46
64,Patitirion,GR,2021-12-15 18:24:35,39.15,23.8667,51.28,69,100,16.55
65,Vardo,NO,2021-12-15 18:24:36,70.3705,31.1107,30.18,86,75,14.97
66,Birin,NP,2021-12-15 18:24:36,26.8865,88.0718,46.02,77,41,4.43
67,Buin,CL,2021-12-15 18:24:37,-33.7333,-70.75,87.06,19,5,9.64
68,At-Bashi,KG,2021-12-15 18:24:37,41.1702,75.8106,2.16,74,14,2.73
69,Sembakung,ID,2021-12-15 18:24:38,3.8167,117.25,74.48,96,100,1.95
70,Kapaa,US,2021-12-15 18:24:39,22.0752,-159.319,73.72,97,75,9.22
71,Cherskiy,RU,2021-12-15 18:24:39,68.75,161.3,-24.38,77,76,4.61
72,Barcelos,PT,2021-12-15 18:24:40,41.5388,-8.6151,59.85,63,4,3.53
73,Kashi,CN,2021-12-15 18:24:40,39.4547,75.9797,22.21,68,66,6.71
74,Clyde River,CA,2021-12-15 18:24:41,70.4692,-68.5914,-26.37,84,36,3.65
75,Nanortalik,GL,2021-12-15 18:24:41,60.1432,-45.2371,29.17,75,100,9.24
76,Kodinsk,RU,2021-12-15 18:24:42,58.6881,99.1844,-10.86,96,100,4.45
77,Lata,PT,2021-12-15 18:24:42,40.1629,-8.3327,51.08,58,11,3.11
78,Yellowknife,CA,2021-12-15 18:20:46,62.456,-114.3525,-7.08,84,90,5.75
79,Kenai,US,2021-12-15 18:23:15,60.5544,-151.2583,2.14,84,1,10.36
80,Oudtshoorn,ZA,2021-12-15 18:20:56,-33.5907,22.2014,59.36,75,100,10.22
81,Bethel,US,2021-12-15 18:24:44,41.3712,-73.414,52.48,57,1,1.99
82,Constitucion,CL,2021-12-15 18:24:44,-35.3333,-72.4167,65.93,58,51,10.98
83,Kodiak,US,2021-12-15 18:24:45,57.79,-152.4072,13.51,79,1,4.61
84,Dikson,RU,2021-12-15 18:24:45,73.5069,80.5464,-20.54,100,100,4.99
85,Aloleng,PH,2021-12-15 18:24:46,16.1307,119.7824,76.26,68,42,9.51
86,Hobart,AU,2021-12-15 18:24:46,-42.8794,147.3294,55.26,78,90,1.01
87,Santa Marta,CO,2021-12-15 18:24:47,11.2408,-74.199,87.98,62,40,13.0
88,Omboue,GA,2021-12-15 18:24:48,-1.5746,9.2618,78.4,86,100,5.03
89,Venado Tuerto,AR,2021-12-15 18:24:48,-33.7456,-61.9688,87.85,23,44,10.13
90,Zhangye,CN,2021-12-15 18:24:48,38.9342,100.4517,17.53,64,24,3.4
91,Sambava,MG,2021-12-15 18:24:49,-14.2667,50.1667,77.2,80,41,8.52
92,Iqaluit,CA,2021-12-15 18:24:49,63.7506,-68.5145,-7.31,76,75,11.01
93,Asau,RO,2021-12-15 18:24:49,46.4333,26.4,39.76,84,66,4.45
94,Hun,LY,2021-12-15 18:24:50,29.1268,15.9477,55.94,58,99,3.85
95,Bambous Virieux,MU,2021-12-15 18:24:50,-20.3428,57.7575,76.21,88,40,4.61
96,Grand Gaube,MU,2021-12-15 18:24:51,-20.0064,57.6608,76.37,76,12,5.01
97,Monrovia,LR,2021-12-15 18:24:51,6.3005,-10.7969,82.17,74,96,5.75
98,Birao,CF,2021-12-15 18:24:52,10.2849,22.7882,80.8,23,99,6.13
99,Garden City,US,2021-12-15 18:24:52,42.3256,-83.331,52.86,78,90,1.99
100,Arraial Do Cabo,BR,2021-12-15 18:24:53,-22.9661,-42.0278,82.36,78,75,16.11
101,Sao Filipe,CV,2021-12-15 18:24:53,14.8961,-24.4956,75.25,68,100,11.25
102,Georgetown,MY,2021-12-15 18:24:53,5.4112,100.3354,82.89,78,20,3.44
103,Lithakia,GR,2021-12-15 18:24:54,37.7167,20.8333,51.58,87,20,0.0
104,Palmer,US,2021-12-15 18:24:55,42.1584,-72.3287,44.82,43,75,1.01
105,Thompson,CA,2021-12-15 18:24:55,55.7435,-97.8558,10.56,85,90,6.91
106,Okhotsk,RU,2021-12-15 18:24:56,59.3833,143.3,-5.93,85,100,12.91
107,Shizunai,JP,2021-12-15 18:24:56,42.3339,142.3669,35.71,64,40,16.17
108,Tsabong,BW,2021-12-15 18:24:57,-26.0217,22.401,86.88,15,0,9.71
109,Lebowakgomo,ZA,2021-12-15 18:24:58,-24.2,29.5,74.3,57,37,4.61
110,Ust-Ilimsk,RU,2021-12-15 18:24:58,58.0006,102.6619,-13.67,95,100,7.14
111,Bereda,ES,2021-12-15 18:25:00,43.2686,-7.5406,46.92,85,2,1.59
112,Champerico,GT,2021-12-15 18:25:00,14.3,-91.9167,93.74,63,0,7.14
113,Sao Mateus,BR,2021-12-15 18:21:28,-18.7161,-39.8589,81.18,74,100,9.19
114,Saint-Augustin,CA,2021-12-15 18:25:01,51.226,-58.6502,13.1,59,28,23.09
115,Saedinenie,BG,2021-12-15 18:25:02,42.2667,24.55,40.75,100,90,9.22
116,Port-Gentil,GA,2021-12-15 18:25:03,-0.7193,8.7815,82.36,83,75,8.05
117,Sorland,NO,2021-12-15 18:25:05,67.667,12.6934,42.87,77,99,31.47
118,New Norfolk,AU,2021-12-15 18:25:05,-42.7826,147.0587,54.9,64,56,2.21
119,Zelenets,RU,2021-12-15 18:25:06,61.8849,50.7489,25.05,95,100,7.56
120,Iranshahr,IR,2021-12-15 18:25:07,27.2025,60.6848,55.74,21,0,4.61
121,Moose Factory,CA,2021-12-15 18:25:07,51.2585,-80.6094,30.2,80,90,11.5
122,Qandala,SO,2021-12-15 18:25:07,11.472,49.8728,76.77,81,34,11.14
123,Norman Wells,CA,2021-12-15 18:25:08,65.282,-126.8329,-20.16,69,90,18.41
124,Lagoa,PT,2021-12-15 18:25:09,39.05,-27.9833,62.46,76,90,18.5
125,Bredasdorp,ZA,2021-12-15 18:25:10,-34.5322,20.0403,59.29,65,86,15.35
126,Villamontes,BO,2021-12-15 18:25:11,-21.25,-63.5,73.9,83,100,6.6
127,Dingle,PH,2021-12-15 18:25:11,10.9995,122.6711,74.7,93,100,9.1
128,Ribeira Grande,PT,2021-12-15 18:25:12,38.5167,-28.7,63.0,88,75,21.85
129,Padang,ID,2021-12-15 18:25:12,-0.9492,100.3543,77.79,87,100,3.67
130,Saint George,US,2021-12-15 18:20:46,37.1041,-113.5841,44.64,53,1,4.0
131,George,ZA,2021-12-15 18:25:15,-33.963,22.4617,60.35,88,75,13.8
132,Kangaatsiaq,GL,2021-12-15 18:25:15,68.3065,-53.4641,18.79,93,100,16.28
133,Kailua,US,2021-12-15 18:25:16,21.4022,-157.7394,74.75,71,95,19.22
134,Salym,RU,2021-12-15 18:25:17,60.0625,71.4789,4.05,99,95,2.37
135,Hilo,US,2021-12-15 18:25:17,19.7297,-155.09,76.62,48,75,10.36
136,Warmbad,NA,2021-12-15 18:25:18,-28.45,18.7333,72.05,24,4,18.86
137,Klaksvik,FO,2021-12-15 18:25:18,62.2266,-6.589,45.52,76,14,35.46
138,Ginda,IN,2021-12-15 18:25:18,30.6945,78.4932,35.92,20,0,8.5
139,Saskylakh,RU,2021-12-15 18:25:19,71.9167,114.0833,-31.86,100,20,4.72
140,Tuktoyaktuk,CA,2021-12-15 18:25:20,69.4541,-133.0374,-20.2,76,20,8.05
141,Ostrovnoy,RU,2021-12-15 18:21:10,68.0531,39.5131,30.06,91,96,22.24
142,Upernavik,GL,2021-12-15 18:25:21,72.7868,-56.1549,6.37,95,100,3.53
143,Yambio,SS,2021-12-15 18:25:22,4.5721,28.3955,80.37,33,100,4.65
144,Yumen,CN,2021-12-15 18:25:22,40.2833,97.2,21.43,45,63,16.42
145,Ancud,CL,2021-12-15 18:25:24,-41.8697,-73.8203,63.93,68,12,6.02
146,Phan Thiet,VN,2021-12-15 18:25:25,10.9333,108.1,74.7,88,50,6.11
147,Elizabeth City,US,2021-12-15 18:25:25,36.2946,-76.2511,69.01,68,1,3.44
148,Havelock,US,2021-12-15 18:25:26,34.8791,-76.9013,69.78,74,68,1.01
149,Dunedin,NZ,2021-12-15 18:24:11,-45.8742,170.5036,52.81,99,100,5.84
150,Xining,CN,2021-12-15 18:25:27,36.6167,101.7667,20.64,36,93,1.43
151,Waddan,LY,2021-12-15 18:25:29,29.1614,16.139,57.0,58,98,5.41
152,Upata,VE,2021-12-15 18:25:30,8.0086,-62.3989,78.28,83,91,4.7
153,Zhigansk,RU,2021-12-15 18:25:30,66.7697,123.3711,-29.78,93,100,8.37
154,Port Hedland,AU,2021-12-15 18:25:31,-20.3167,118.5667,78.85,78,0,9.22
155,Rehoboth,NA,2021-12-15 18:25:32,-23.3167,17.0833,75.92,14,0,13.91
156,Kruisfontein,ZA,2021-12-15 18:25:33,-34.0033,24.7314,63.88,80,71,17.18
157,Tenenkou,ML,2021-12-15 18:25:33,14.4572,-4.9169,86.29,13,100,12.06
158,Port Hardy,CA,2021-12-15 18:25:34,50.6996,-127.4199,44.6,75,90,23.02
159,Mehamn,NO,2021-12-15 18:25:35,71.0357,27.8492,25.23,89,84,8.41
160,Nalut,LY,2021-12-15 18:25:36,30.3333,10.85,53.94,45,43,8.5
161,Monforte De Lemos,ES,2021-12-15 18:25:37,42.5216,-7.5142,56.57,69,11,2.21
162,Am Timan,TD,2021-12-15 18:25:37,11.0297,20.2827,85.82,19,50,2.59
163,Townsville,AU,2021-12-15 18:25:38,-19.25,146.8,79.68,57,40,10.36
164,Carnarvon,AU,2021-12-15 18:25:39,-24.8667,113.6333,69.87,78,90,16.11
165,Ust-Omchug,RU,2021-12-15 18:25:40,61.15,149.6333,-14.69,98,100,5.35
166,Medea,DZ,2021-12-15 18:25:41,36.2642,2.7539,41.45,84,42,3.36
167,Krasnoselkup,RU,2021-12-15 18:25:41,65.7,82.4667,-12.12,100,92,5.39
168,Hasaki,JP,2021-12-15 18:25:42,35.7333,140.8333,34.2,58,0,6.91
169,East London,ZA,2021-12-15 18:25:42,-33.0153,27.9116,68.94,88,75,21.85
170,Victoria,HK,2021-12-15 18:22:28,22.2855,114.1577,72.32,90,100,5.99
171,Ponta Do Sol,PT,2021-12-15 18:25:43,32.6667,-17.1,64.71,69,2,6.6
172,Joao Pinheiro,BR,2021-12-15 18:25:44,-17.7425,-46.1725,73.63,79,100,5.1
173,Yar-Sale,RU,2021-12-15 18:25:45,66.8333,70.8333,-12.05,100,45,5.03
174,Coquimbo,CL,2021-12-15 18:25:45,-29.9533,-71.3436,66.96,67,1,8.14
175,Lavrentiya,RU,2021-12-15 18:25:46,65.5833,-171.0,-5.46,99,100,18.32
176,Dali,CN,2021-12-15 18:25:47,25.7,100.1833,42.24,70,1,4.83
177,Hithadhoo,MV,2021-12-15 18:25:47,-0.6,73.0833,82.26,70,31,1.92
178,Linhares,BR,2021-12-15 18:25:47,-19.3911,-40.0722,80.76,80,100,7.4
179,Manaskent,RU,2021-12-15 18:25:48,42.7275,47.6785,43.97,87,78,15.66
180,Baie-Comeau,CA,2021-12-15 18:25:48,49.2168,-68.1489,22.48,53,1,8.05
181,Morden,CA,2021-12-15 18:22:22,49.1919,-98.1014,28.22,93,100,8.05
182,San Cristobal,VE,2021-12-15 18:25:49,7.7669,-72.225,75.38,74,78,1.7
183,Roma,US,2021-12-15 18:25:50,43.2128,-75.4557,44.46,59,90,6.91
184,Antofagasta,CL,2021-12-15 18:25:50,-23.65,-70.4,71.22,56,10,9.84
185,Mount Vernon,US,2021-12-15 18:25:51,40.9126,-73.8371,55.71,59,75,4.0
186,Mar Del Plata,AR,2021-12-15 18:23:52,-38.0023,-57.5575,69.82,71,75,11.01
187,Gat,IL,2021-12-15 18:25:51,31.61,34.7642,57.4,57,0,3.71
188,Nakusp,CA,2021-12-15 18:25:53,50.2499,-117.8023,28.74,74,100,3.44
189,Egvekinot,RU,2021-12-15 18:25:53,66.3167,-179.1667,-10.95,98,100,19.44
190,Verkhoyansk,RU,2021-12-15 18:25:54,67.5447,133.385,-33.11,100,97,2.3
191,Bolshaya Glushitsa,RU,2021-12-15 18:25:54,50.2406,43.5908,32.74,95,100,2.89
